DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,ES,2020-S1,0.2239,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,ES,2020-S2,0.2298,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2016-S1,0.2051,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2016-S2,0.2069,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2017-S1,0.2086,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2017-S2,0.2087,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2018-S1,0.2099,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2018-S2,0.2146,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2019-S1,0.2170,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2019-S2,0.2170,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2020-S1,0.2134,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,EU27_2020,2020-S2,0.2134,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2016-S1,0.1541,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2016-S2,0.1545,
ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),18/06/21 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,FI,2017-S1,0.1581,
