DATE,INF,DP,DM,DC,DS,TS,DT,RF_daily,RF_monthly
2024-08-13,0.007387387742001686,-0.035258894915898634,0.01166325391682195,0.0025770226440925467,0.020000000000000018,-3.8522580645161284,0.010645161290322669,0.019069076073119362,0.401215142850897
2024-08-14,0.007386842047323737,-0.03527133119762843,0.011661893760555266,0.0025769562353712056,0.010000000000000009,-3.911612903225806,-0.059354838709677615,0.019028805405496563,0.40036623111696645
2024-08-15,0.007386296433283454,-0.035283776255328345,0.01166053392146822,0.0025768898300248116,0.0,-3.9609677419354834,-0.049354838709677384,0.018988530667729542,0.39951724042017744
2024-08-16,0.007385750899836433,-0.03529623009831972,0.011659174399472018,0.0025768234281421803,0.010000000000000009,-3.9503225806451607,0.010645161290322669,0.01894825185893012,0.3986681707451645
2024-08-17,0.007385205446938268,-0.035308692735879464,0.01165781519445566,0.0025767570296789037,-0.0033333333333332993,-3.939677419354839,0.01064516129032178,0.018907968978343348,0.39781902207658426
2024-08-18,0.007384660074633368,-0.03532116417734005,0.011656456306330356,0.0025766906345905736,-0.0033333333333334103,-3.9290322580645163,0.010645161290322669,0.01886768202510325,0.3969697943990491
2024-08-19,0.007384114782855125,-0.03533364443202281,0.011655097734962906,0.0025766242429660067,-0.0033333333333332993,-3.9183870967741936,0.010645161290322669,0.01882739099838826,0.39612048769717134
2024-08-20,0.007383569571603542,-0.035346133509293554,0.011653739480242313,0.002576557854760794,0.010000000000000009,-3.907741935483871,0.010645161290322669,0.018787095897376815,0.39527110195562987
2024-08-21,0.0073830244408786185,-0.03535863141849586,0.011652381542035378,0.0025764914699527323,0.0,-3.8970967741935483,0.010645161290322669,0.01874679672124735,0.3944216371589926
2024-08-22,0.0073824793905915434,-0.03537113816898441,0.01165102392027551,0.0025764250885862293,0.0,-3.8764516129032254,0.0206451612903229,0.018706493469178298,0.393572093291894
2024-08-23,0.007381934420831132,-0.03538365377019167,0.01164966661482951,0.002576358710639081,0.0,-3.8658064516129027,0.010645161290322669,0.01866618614032589,0.39272247033892427
2024-08-24,0.007381389531464167,-0.035396178231483444,0.011648309625608583,0.0025762923361112877,0.0,-3.85516129032258,0.010645161290322669,0.018625874733868564,0.39187276828471784
2024-08-25,0.0073808447225794625,-0.03540871156224777,0.011646952952457329,0.002576225964980645,0.0,-3.8445161290322574,0.010645161290322669,0.01858555924898475,0.39102298711386485
2024-08-26,0.007380299994110409,-0.03542125377197266,0.011645596595286955,0.002576159597291561,0.0,-3.8338709677419347,0.010645161290322669,0.018545239684852888,0.3901731268109332
2024-08-27,0.007379755346012605,-0.03543380487004614,0.011644240553986461,0.0025760932330440357,0.0,-3.813225806451613,0.020645161290321568,0.01850491604065141,0.3893231873605574
2024-08-28,0.007379210778308252,-0.03544636486593403,0.011642884828489257,0.0025760268721714574,0.0,-3.8025806451612905,0.010645161290322669,0.01846458831551434,0.3884731687472831
2024-08-29,0.007378666290975151,-0.03545893376911323,0.011641529418639942,0.0025759605147404377,-0.010000000000000009,-3.8019354838709676,0.000645161290322882,0.018424256508664527,0.3876230709557227
2024-08-30,0.007378121883968895,-0.03547151158904956,0.011640174324305317,0.002575894160706569,-0.010000000000000009,-3.781290322580645,0.020645161290322456,0.018383920619235994,0.386772893970444
2024-08-31,0.007377577557333892,-0.035484098335219955,0.01163881954541879,0.002575827810136463,0.007500000000000062,-3.7681451612903225,0.013145161290322616,0.01834358064642938,0.385922637776015
2024-09-01,0.007377033310959132,-0.03549669401717908,0.011637465081869363,0.0025757614629413035,0.007499999999999951,-3.755,0.013145161290322616,0.018303236589400917,0.3850723023570035
2024-09-02,0.0075482592379124075,0.005263394300882121,0.010665598525968236,0.006636309911712858,0.007499999999999951,-3.7455000000000003,0.00949999999999962,0.018276705089270706,0.3845130992155221
2024-09-03,0.007547689518723308,0.005263117282266319,0.010664461097338675,0.006635869534826054,0.007500000000000062,-3.7359999999999998,0.009500000000000508,0.018250171822487005,0.38395386180580804
2024-09-04,0.0075471198855667524,0.005262840292802674,0.01066332391132065,0.006635429216419978,-0.010000000000000009,-3.719,0.016999999999999904,0.018223636788849973,0.383394590123487
2024-09-05,0.007546550338353934,0.005262563332513385,0.010662186967780953,0.0066349889564058205,-0.010000000000000009,-3.702,0.016999999999999904,0.01819709998811536,0.38283528416411805
2024-09-06,0.0075459808771070535,0.00526228640135405,0.01066105026667519,0.006634548754827988,-0.010000000000000009,-3.6849999999999996,0.017000000000000348,0.018170561420016718,0.3822759439233492
2024-09-07,0.007545411501803914,0.005262009499346871,0.010659913807892357,0.006634108611664277,0.0,-3.678,0.006999999999999673,0.0181440210843542,0.3817165693967617
2024-09-08,0.007544842212400107,0.005261732626469643,0.010658777591410262,0.006633668526892487,0.0,-3.6709999999999994,0.007000000000000561,0.01811747898088356,0.3811571605799591
2024-09-09,0.007544273008917838,0.005261455782744572,0.0106576416170957,0.0066332285004904136,0.0,-3.6639999999999997,0.006999999999999673,0.018090935109338346,0.3805977174685893
2024-09-10,0.007543703891312704,0.005261178968127251,0.010656505884859873,0.006632788532480262,0.010000000000000009,-3.657,0.006999999999999673,0.01806438946954092,0.3800382400581892
2024-09-11,0.007543134859540301,0.0052609021826620864,0.010655370394702785,0.006632348622817627,0.0,-3.6399999999999997,0.017000000000000348,0.01803784206118042,0.379478728344429
